GUID,Firstname,Surname,DOB,PostCode,Suburb,State,Active
1FE06237-F961-4E97-A982-E6EB37D6CD8A,Asa,Mercer,9/06/1995,4751,Greenmount,QLD,1
394FAF2C-5A4F-481E-B071-AFA08448F4FB,John,Beck,8/12/1949,4671,Takilberan,QLD,1
50FC0C0F-7397-4738-9716-29BFC7F62D07,Thomas,Spears,7/05/1967,4807,Alva,QLD,0
02DEFD8E-8092-4446-A17E-5EA2150B9F2E,Finley,Holland,5/11/1955,4380,Nundubbermere,QLD,1
DED9095C-F6ED-441F-AB50-0205BF9513AF,Ivy,Olsen,29/01/1968,4306,Dundas,QLD,1
34EEC530-52E7-4BF6-92B8-33DFA26C3DF7,Andrea,Brandt,21/04/1955,4626,Cattle Creek,QLD,1
C306B1C5-381A-4CD0-9710-AD706E99D910,Perla,Boyle,21/12/1956,4370,Glengallan,QLD,1
A96EFC53-BAD4-4316-AD7D-F66D51F35E27,Trevon,Santana,16/10/1975,4670,Electra,QLD,1
419F0205-1526-469A-B86C-A3EB1CE48183,Leo,Singleton,13/02/1971,4871,Deeral,QLD,1
21A7C0AF-6D7B-448D-96C5-AAB5E4F9689F,Easton,Bush,29/07/1970,4357,Lavelle,QLD,1
F325AA60-1ACC-41BD-BA69-9C131FB2EFCC,Aidyn,Ramirez,14/01/2004,4077,Inala,QLD,0
0180BCE4-E63F-467E-A54E-303150E2D271,Conner,Trujillo,20/05/1998,4352,Gowrie Junction,QLD,1
CB45E4C3-C152-40E9-89C4-052A0214523E,Nathanael,Gamble,23/11/1972,4870,Westcourt,QLD,1
3CB28CEA-A94C-4BDE-9614-A283FD4462EE,Zaid,Allison,24/01/1986,4310,Templin,QLD,0
D1F51D9E-890A-408D-B64F-23BFD144F32F,Octavio,Mays,14/08/1996,4728,Mexico,QLD,1
D0027EE2-28F0-44D9-A964-FC936A0EE7BA,Lucas,Moreno,23/10/1972,4650,Gootchie,QLD,1
5A7F9D96-C67C-4B60-B72A-FCFF8704FCCC,Brynlee,Gregory,7/05/1947,4740,Chelona,QLD,1
99716EEC-43D4-4A64-88FA-5352FD7FB033,Dulce,Clayton,23/03/1961,4871,Mount Mulligan,QLD,1
DA04A2D3-A7A8-42E8-91C9-A03E49CCDC15,Veronica,Bray,19/08/2001,4670,Bundaberg Dc,QLD,0
B20D0037-D2B4-4D19-9417-9653F5EB4F04,Haylee,Bowen,13/01/2003,4069,Pinjarra Hills,QLD,1
59A4EEFE-70B9-4CC9-B4C4-A4116B47F3B1,Skye,Vazquez,12/12/1978,4700,Great Keppel Island,QLD,1
512B931C-4AF2-4A10-99C8-73515508D75B,Stanley,Mack,10/06/1988,4702,Alsace,QLD,1
B9BC3B91-7866-4B54-998F-9F77A4402290,Raymond,Walsh,16/02/1960,4807,Mount Kelly,QLD,0
8A159F0C-FE5B-4C4A-81D4-369335AD9535,Damaris,Ashley,23/05/1947,4017,Brighton,QLD,1
9C44EDCB-5705-410A-9DAE-4A63A24C97B8,Rosemary,Matthews,3/08/1990,4404,Wainui,QLD,1
54E7CD01-2BDE-475F-8C56-9E5DB39490E1,Ali,Ballard,1/06/1945,4886,Minbun,QLD,1
B1F0334E-4C61-4B1E-B1F1-C79DD0AF0311,Briley,Dickson,23/01/1987,4805,Gumlu,QLD,0
450468C9-3D33-4A47-ADF2-75E7B5C0FF1B,Riley,Brown,25/07/1953,4873,Bonnie Doon,QLD,1
8C648A82-75FC-49EE-8420-A1E0BECABA0C,Justine,Moore,3/06/1972,4615,Johnstown,QLD,0
0E81F678-D399-4334-8FB0-68E69C787E73,Julia,Salas,8/10/1975,4850,Trebonne,QLD,1
72ABB41E-F14E-4566-B5FD-82346BB28A1D,Jensen,Waters,20/10/2001,4034,Carseldine,QLD,1
E7D6E8F2-AFF2-4EFE-8771-D05FCC5B2DA9,Sidney,Rush,25/06/1992,4703,Mulara,QLD,1
F508C210-C0F1-4FB0-AA35-AEB597D92E1D,Adriana,Mosley,4/04/1988,4285,Kagaru,QLD,1
B3C342A4-E38E-477E-B374-87B872735571,Scarlett,Miles,31/12/1993,4555,Landers Shoot,QLD,1
3CC97FBA-FECD-4E0D-9AE3-3789E4B5E6FE,Finley,Odom,17/09/2000,4871,Fitzroy Island,QLD,1
31B0E95F-9D24-46D1-B21B-5823127E523A,Semaj,Wilcox,8/06/1992,4306,Fairney View,QLD,1
B1A7FBB6-A6E2-4A24-8E49-EB266F3910DA,Kamron,Marshall,24/04/1955,4478,Tambo,QLD,1
B66157FC-4F1C-4AF2-898D-4D3B3C5A5BBD,Reginald,Daniels,5/04/1962,4556,Tanawha,QLD,1
D500F049-DF2F-41C0-BD29-BB74F64DB5CD,Mollie,Gross,9/10/1966,4455,Orallo,QLD,1
0B3CEA76-08D3-4AA6-82D1-E75F7823B71D,Kamila,Harrell,10/09/1951,4511,Ningi,QLD,1
B1E0FE78-25F3-4B58-B05B-B4F64FCB6710,Heaven,Hayes,12/12/1968,9008,Brisbane,QLD,1
E65F8A0E-D6DA-498E-94B1-36C317533204,Nayeli,Reid,20/11/1974,4872,Cairns Mc,QLD,0
2DB36D32-95B3-411B-B801-42A01F8F8E52,Todd,Mccall,7/05/1967,4671,Molangul,QLD,1
B1561D01-94B7-4C3D-AAEA-54F2136BA7F0,Dominique,Pineda,21/10/1982,4361,Missen Flat,QLD,1
364F4629-BA53-45CA-90E9-7BC3737803A4,Jaidyn,Bradford,27/08/1998,4800,Strathdickie,QLD,1
