GUID,Firstname,Surname,DOB,PostCode,Suburb,State
C9623BC6-A880-4EC0-86DB-23E91CCAF4ED,Haylee,Soto,1993-01-29,4361,Headington Hill,QLD
06E7E74E-A8F8-433A-996D-33742835D0C1,Leticia,Yoder,1985-02-28,2481,Broken Head,NSW
4DD23784-BD2D-4820-9C41-B3393DB0660E,Emilie,Cohen,1975-05-31,2572,Thirlmere,NSW
3F489BFB-5166-42DB-8DCC-88FAFC65B529,Charlie,Howard,1967-02-28,4110,Pallara,QLD
417E0861-5CBE-46EF-91D2-00FC69538B95,Nathanael,Kaiser,1967-04-02,4030,Wooloowin,QLD
B0715661-C96B-4904-8BB1-9C6F8DCD15E2,Shyla,Gonzales,1989-06-08,872,Wingellina,WA
2C165421-1CDD-4B62-8996-062A59C5C0D2,Graham,Greer,1985-08-13,4570,Long Flat,QLD
7587DFB4-FB65-4599-BE91-2231B2637D2E,Kole,Munoz,1998-11-15,5421,Franklyn,SA
0AC7D9AD-33D3-42F3-9627-34078E3E5BCE,Jude,Walker,1951-07-25,4807,Mount Kelly,QLD
5E904572-AE49-440C-BAD2-493C1D4EB904,Donavan,Nolan,1968-05-24,4340,Mount Walker West,QLD
03C20795-5B2A-402C-9F21-E6839C507BEF,Salma,Sosa,1994-01-28,7163,Flowerpot,TAS
BB9CFE67-C779-475C-B193-A117B80E6A19,Rylee,Lester,1997-12-28,3851,Lake Wellington,VIC
F580C73B-3A2C-4F87-A3CA-FFEE8A653977,Liana,Sweeney,1955-01-12,4309,Kalbar,QLD
45F6B925-7FC2-49DF-9899-9AB5944EA7F7,Magdalena,Beltran,1955-04-23,7315,South Nietta,TAS
C0DBF71D-159F-4AD8-92DB-019136294366,Devin,Campos,1946-09-12,1159,Sydney,NSW
C76D54C5-724C-496F-A038-73424D615E2D,Jerry,Russo,1979-09-19,2105,Lovett Bay,NSW
FF77D426-9956-4048-8093-1C07EF582B54,Roland,Leonard,1956-06-06,4620,North Aramara,QLD
E231F889-A998-4DB8-8649-E752C70EE7EF,Rhianna,Holmes,1943-03-17,4810,Rowes Bay,QLD
1B8AABF8-56EA-4D79-8EBD-7066E4E5666A,Lesly,Lambert,1996-11-02,2536,Surf Beach,NSW
3D1EBDA5-615A-424A-B2DB-2F8BA557BE6B,Anna,Barry,1963-02-08,4107,Salisbury,QLD
385A2C38-EB74-4979-8506-C0E6D1F5B9AC,Isai,Mcconnell,1969-08-01,2476,The Glen,NSW
1F4F3C24-43BA-4634-B41B-9F2886EEFFB5,Gerardo,Newman,1951-01-18,4306,Mount Stanley,QLD
D923EBE1-79DE-4F70-8CF1-352C8734BFA9,Rudy,Carey,1956-05-19,5107,Parafield Gardens,SA
CDF440C2-5700-4F06-BAAB-0EC273FCAA87,Madilynn,Nichols,1982-11-18,7120,York Plains,TAS
EB8CFAE2-DCB5-447E-8A59-A396F99F5A3C,Nikhil,Hobbs,1982-04-30,4820,Llanarth,QLD
E5A0B694-2E72-4E09-B773-B66A915CCCBB,Luka,Barrett,1999-05-14,2632,Bondi Forest,NSW
36FF333D-7616-4737-8A72-C8C282FD1D53,Kamari,Strong,1965-06-12,852,Uralla,NT
E9A1DC3E-8F77-4E9A-9094-328ADB28D69D,Beau,Quinn,2001-11-15,4120,Stones Corner,QLD
4E202ED7-F04B-405A-AF82-FF6139807A28,Harmony,Mathews,2003-02-23,1221,Royal Exchange,NSW
05114506-D035-47ED-9E0E-757D8EFBD393,Rey,Erickson,1952-04-17,3004,St Kilda Road Melbourne,VIC
39586D3B-7BB4-4440-90DA-F0ED7BF1421A,Justine,Davies,1947-04-16,2321,Harpers Hill,NSW
D2D4DEAB-8B61-417F-A831-D91AEEEEE771,Lauren,Gregory,1963-07-08,2713,Logie Brae,NSW
1FD26CFD-7954-40DB-B34C-0B0640DAF963,Amira,Mccarty,1947-10-19,2845,Wallerawang,NSW
A34C2DD3-07C1-4B8D-8583-8F4DEA4D7988,Rocco,Paul,1984-08-04,4700,Port Curtis,QLD
9511A894-6184-4DDC-9673-9FFECF8F2B73,Aspen,Lopez,2002-04-24,2827,Bearbong,NSW
D444EA83-13F1-4C42-B67A-613902909A1E,Diana,Fox,1957-08-11,6447,Wittenoom Hills,WA
CFDC2126-5E3E-4748-923B-C561F88766B4,Kayley,Hinton,1992-02-18,7215,Cornwall,TAS
CB818418-3E85-45B6-8020-2962DF24E97D,Cyrus,Sullivan,1998-06-26,2480,Tregeagle,NSW
C9CD8E0C-54C6-4AD2-9332-72E9F4F3B806,Zackary,Waters,1996-03-02,5632,Kapinnie,SA
9ECC3D48-DCB4-4E36-94D6-BCD16B868E6A,Nolan,Bird,1976-01-10,2027,Hmas Rushcutters,NSW
386E432D-9A76-4DA2-87B4-BE60F255F7C5,Annabella,Villarreal,1970-06-25,3678,Rose River,VIC
4992B22B-0E5C-49C2-BC33-E0E708FA4C8A,Yusuf,Erickson,2001-09-25,2422,Wards River,NSW
F3A47313-67BC-4004-BF24-D464F7E488D9,Dania,Mooney,1949-01-03,5580,Curramulka,SA
32FDDDAC-7C34-4298-A9AB-88D8FE2B34AC,Desmond,Hunter,1990-09-25,7180,Taranna,TAS
643EB809-45C5-4321-A5C6-19ABABF6F7CF,Katie,Valenzuela,1961-02-07,4739,Carmila,QLD
7A4303CF-49E2-469A-8735-075D8B1FBF41,Elias,Villarreal,1944-04-16,2463,Shark Creek,NSW
A207E72E-F188-4A15-B99F-A863293AA3D2,Phoenix,Sullivan,1991-03-09,2539,Cockwhy,NSW
CCF98FFA-3809-4078-B1BB-0D34AC034C39,Valentino,Boyer,1943-03-16,2622,Murrengenburg,NSW
0552EE35-3233-4329-8520-E0D22236F39F,Katrina,Yoder,1988-06-29,7213,Avoca,TAS
64419053-5E64-44D4-9C72-AF23B664CECF,Braydon,Mcpherson,1992-12-18,5132,Paracombe,SA
666E704E-C41B-4862-8A61-7A7623A0C29F,Octavio,Ayala,1962-01-16,4344,Egypt,QLD
EC331AC6-110F-407B-B082-1C0FB4AC1879,Deacon,Mcneil,1967-03-23,5502,Fischer,SA
905AD7E3-977F-45F6-99F8-78FA1B8D5F01,Andre,Lindsey,1966-10-06,3875,Wuk Wuk,VIC
346D097B-F90B-43DD-9657-7673056D8A02,Jeffrey,Miles,1983-09-04,2447,Scotts Head,NSW
91CA0F9A-C904-4F2E-9FDE-04A4FD8F9883,Trent,Gentry,1979-09-20,6111,Lesley,WA
65A66343-7CA6-47A9-9610-0CC8507C8037,Omari,Duke,1996-09-16,8103,Melbourne,VIC
5D819558-722C-48CC-BFE0-448C4B483DF0,Alisa,Cooper,1960-04-08,1233,Sydney South,NSW
E4CE8E19-9C98-4245-A806-D784595DF341,Regan,Underwood,1989-04-03,6850,Cloisters Square Po,WA
F50C888C-05A9-440D-BB5D-B304D7A720C3,Grady,Haynes,1978-05-01,3176,Scoresby Bc,VIC
8EEF95B0-3F8B-4432-B8F7-4B414366BFCF,Melina,Harrison,1979-01-30,7007,Mount Nelson,TAS
32808327-219F-481D-BAA8-A6869E7A6EB4,Isabela,Snyder,1946-09-19,7120,Woodbury,TAS
13238E41-656B-4AF6-9AB2-1B78E81CA345,Melina,Vargas,2000-11-21,2259,Moonee,NSW
52230D7E-1797-45C9-9DD2-10368F1971A3,Karlie,Hebert,1942-04-26,2820,Lake Burrendong,NSW
FA641E0D-7956-4128-A1D1-D0FEB6DB2AD3,Yasmine,Beltran,1973-09-16,3898,Dinner Plain,VIC
3833758C-8DF2-4139-93E4-B15E0325303C,Lilliana,Blair,1949-12-20,5109,Salisbury Park,SA
A33C6A5B-ECAF-46DE-8851-77E22BC247D2,Erin,Sharp,1954-08-18,3953,Ruby,VIC
70630AB3-F657-440E-81D5-F99EC0C6733E,Helena,Walls,1983-07-24,6023,Duncraig,WA
528BDC5F-46AE-45CA-ADD9-B642883FD82B,Reynaldo,Reilly,1969-10-04,2580,Quialigo,NSW
26152A93-014C-45F5-9F52-472839F13F93,Keyon,Kaiser,1965-02-05,3101,Cotham,VIC
C9ABFE20-0443-4B7A-A745-59C271A9B4E8,Sarah,Mercado,1969-07-15,4892,West Wellesley Islands,QLD
BDD34922-B816-4952-8899-8A40EE5FDECB,Macy,Escobar,1984-05-09,3477,Gre Gre,VIC
E3D79483-6A1B-40A3-83AC-157A716E7C7C,Houston,Bird,1953-11-16,3442,Rochford,VIC
572119EC-0AC2-4A22-AF3B-E5A4647C74B0,Journey,Silva,1978-08-22,2707,Argoon,NSW
A33601AD-C087-4143-8330-4D00ED5889C3,Alijah,Peterson,1967-01-16,2875,Bruie Plains,NSW
A2A60FCF-1838-4F60-A3FE-E553E165E1A6,Kinsley,Reid,1976-03-07,3833,Baw Baw Village,VIC
D7FC3C91-F228-40AB-BA3B-CFC52AAE7B49,Sage,Andrade,1984-09-27,2540,Tomerong,NSW
506CF79D-0217-4BFA-A236-6A90A2321B7A,Kathryn,Monroe,1999-06-13,3808,Dewhurst,VIC
7E0B2041-BE16-4754-939B-C63D7E1DA7DF,Allan,Mccarthy,1980-08-22,2630,Numeralla,NSW
789C36CD-ABE4-415B-B680-5ED4DA38E6C4,Donald,Steele,1969-10-16,3673,Broken Creek,VIC
6101C49D-0A14-4DFC-BB3B-CC9EF147EDE8,Killian,Hays,1956-12-01,4671,New Moonta,QLD
09150792-E192-46A9-B73A-6F971A7D844F,Branden,Frye,1970-07-09,5605,Butler,SA
0982B440-98C0-4168-97C5-3A62C6E7D6F2,Judith,Wang,1944-03-02,3662,Puckapunyal,VIC
EAD088E8-607C-4489-AAAA-EC6D45190DEB,Pranav,Hanna,1960-04-14,1161,Sydney,NSW
404C2D3A-4FE6-4393-A393-224A19A35360,Xavier,Brewer,1980-09-10,2538,Mogood,NSW
70D021D6-219A-42B8-AF38-AD95B8DA39D2,Raymond,Humphrey,1977-10-11,3815,Bunyip,VIC
04B2FFB9-DFAD-4B36-A2A6-4C94CCF9FAD2,Andreas,Michael,1983-04-18,6630,West Casuarinas,WA
D02ECDB3-A76B-4C70-A8C4-8D21464A8CF6,Haleigh,Valentine,1991-05-10,2500,West Wollongong,NSW
6C0B7AAB-FCE4-434D-9D1B-BD546B098DCC,Parker,Mitchell,1972-04-17,2775,Marlow,NSW
B01575D6-19CA-4A3E-8E75-B8DE4E3845A2,Yamilet,Price,1953-07-07,2446,Kings Creek,NSW
99677241-3864-4562-9A8F-EB4C3D5FA205,Francis,Mccullough,1996-09-16,2399,Biniguy,NSW
D67FFE77-EE17-441C-A103-1169A9626165,Alana,Hess,1944-05-22,3977,Five Ways,VIC
D3E74159-80D5-4ECF-80B0-F8FE1C8DA142,Kiera,Mann,2000-10-19,3134,Ringwood North,VIC
A62BC0B9-1E12-4DBE-825A-D3F5A1CC3DD4,Enrique,Roth,1984-09-13,2541,Nowra North,NSW
54AA62B6-6D08-40FA-8EA3-7FAA0AEFEB78,Addison,Becker,1956-05-14,2470,Dyraaba Creek,NSW
36A77F93-41BD-479F-A003-FCE3D346DAE7,Ayden,Manning,1988-12-27,4608,Charlestown,QLD
8922F08B-537D-40D4-AB35-85CE4CA74DBD,Abagail,Marsh,1959-04-19,2551,Nadgee,NSW
64151E3A-0696-4C21-BE95-C6C2CEF3B423,Briana,Rose,1944-10-23,5670,Palkagee,SA
724D1AE1-5993-4F42-AE7E-2887EAB95D9D,Mackenzie,Sutton,1967-01-07,7256,Wickham,TAS
3011B950-4F60-490F-B359-D1628696F3C5,Adyson,Keller,2000-08-03,5419,Ulooloo,SA
4CBF501A-4469-47C6-BDD4-B14A3F86262B,Mohammad,Small,1990-06-04,4723,Lowestoff,QLD
866B0E67-EA46-44B7-93EE-1CAE35695152,Mario,Marquez,1951-07-03,3371,Amherst,VIC
7EDA21D9-55D7-4EDA-A804-630541EB4981,Aiyana,Coffey,1944-04-25,4670,Coral Cove,QLD
77DEE749-0292-492A-8768-B2DE6CC2A8CA,Asia,Vaughn,2003-11-10,7190,Rocky Hills,TAS
704A08B9-A564-409E-B14A-0E8A0D7FE9D1,Lilly,Roman,1966-10-22,5291,Wye,SA
9204AF26-1D70-442F-927D-C2920CAEAE55,Jayden,Park,1959-07-02,2600,Hmas Harman,ACT
6DB93C33-61CE-4279-9170-524A4FA59964,Mckenzie,Huber,1948-01-21,2528,Barrack Point,NSW
DD0D0380-49E4-4E3B-B0FF-1BE8C4373488,Caylee,Weaver,1958-05-07,3020,Sunshine,VIC
063B02F7-9FF5-49BE-BA24-012DD9D6E887,Yazmin,Cooper,1967-11-10,7215,Gray,TAS
C748B60A-53B7-4208-B920-6F5D71766458,Giana,Pruitt,1957-03-19,5374,Neales Flat,SA
1FD10463-F60D-4EE0-9761-F87CC8907946,Kinsley,Zhang,1963-01-17,2529,Shellharbour City Centre,NSW
B7CD1576-0647-4201-AE11-8B41FA36A9A5,Alexander,Archer,1968-05-08,3314,Grampians,VIC
47809FA5-664E-4E0B-ABEB-E0E524C09AB4,Nevaeh,Pope,1979-12-04,2127,Homebush Bay,NSW
A13596F2-DFB5-4AC0-A03D-F840021C9905,Haylie,Cummings,1975-11-25,5279,Trihi,SA
0C3E0931-F18E-4BE5-B638-E8412609F2A3,Maia,Clay,1999-10-16,4380,Pikedale,QLD
0BB7C30C-5C28-42B9-B6E0-A078470E5D21,Wyatt,Kelly,1995-07-14,885,Alyangula,NT
8A9B45AC-3AE4-4BE3-AC7C-B883085A5408,Anton,Eaton,1979-03-07,3678,Docker,VIC
F53BC682-133E-4878-A4E2-D07D3BBD43DC,Pedro,Parsons,1990-11-14,5501,Thompson Beach,SA
B9870148-5B6C-4C23-82F3-B67DBA3A0370,Adalynn,Holt,1983-04-23,7017,Grasstree Hill,TAS
0E3705D5-AEE8-44AD-A783-5526160FB25B,Dahlia,Li,1992-09-06,6488,Trayning,WA
51B3CEF6-F460-4C3B-98FB-C86AD12B6381,Paige,Salinas,1983-08-03,3227,Breamlea,VIC
6876B8FF-0133-47EB-B180-A6F8B9DDEB8B,Milagros,Soto,1954-08-19,6562,Woottating,WA
EF180B78-85AC-49B0-BE55-0F7C1ABF18BD,Shea,Tate,1959-08-28,7256,Surprise Bay,TAS
355A26F9-B4EF-401D-B95B-26E9B960E198,Lorena,Hart,1997-03-20,2480,Tuncester,NSW
AFC7E287-7079-44CB-BA16-9D6D168C277E,Elliott,Potter,1963-04-23,3621,Koyuga South,VIC
A89E8103-F128-4D40-9AF7-A76FF4304448,Amari,Mckay,1961-04-06,7267,Lalla,TAS
77A9250B-50C1-4B3C-9359-CDFCA8A23C27,Amiya,Barrera,1966-09-03,2622,Neringla,NSW
55B5D1E1-22E2-4EAC-88AD-C69B98D00D72,Trent,Hanna,1955-09-05,3038,Keilor Lodge,VIC
DAB987E5-23A0-4258-95EB-780F69EBBBE5,Kiara,Bradley,1943-04-24,2618,Wallaroo,NSW
2FA1F71C-77D5-4640-AFA8-6D93BDFD2DBC,Keegan,Ho,1962-01-22,2210,Riverwood,NSW
D70EB9F3-2798-4B5D-A1FD-26DCAA521D61,Joyce,Walton,1949-07-03,4109,Sunnybank South,QLD
287FD392-0CF0-4DE3-8B49-5E54CCA7F95D,Trenton,Holden,1967-01-31,4816,Barringha,QLD
79FA911D-A761-447B-ABE2-0CF19FED901D,Shaniya,Bass,1978-09-03,2903,Oxley,ACT
67227883-EEA2-4C5B-8465-98BC82A544E3,Frankie,Bond,1950-07-29,4670,Elliott,QLD
E14C40B0-CAD3-4254-92A4-9457AC95DB6D,Evelin,Madden,1944-08-26,2720,Red Hill,NSW
6CA69AEC-6002-4E86-804C-137EDB574AFE,Vincent,Oneal,1948-11-12,4311,Buaraba South,QLD
405F5FDF-985A-4F3F-9C3A-D799F73A28C1,Devin,Weber,1976-03-31,5085,Northfield,SA
CB394A90-79C0-47DB-BA22-4A9C05FD112D,Makaila,Farrell,1968-06-25,7150,Killora,TAS
A4A9335F-6B3E-45BA-9CA0-596351333CEC,Sincere,Hartman,1966-06-14,6020,Sorrento,WA
8E7DFA97-5033-4E4A-B3C6-D85BC083ECC7,Lillianna,Vazquez,1950-07-23,2293,Wickham,NSW
E8B74B18-B87A-4D9D-84C9-5A69BB1827C8,London,Yang,1957-03-11,4875,Horn Island,QLD
1963C8AF-F625-41ED-A515-BECF57AB826E,Zariah,Hicks,1980-03-23,2628,Hill Top,NSW
05E381E4-58DD-4443-BCD8-68F8BFC99D77,Carlie,Pacheco,1961-02-22,3469,Glenlofty,VIC
5807F57E-AED3-49A1-BD00-67598B25938B,Karly,Mcknight,1978-10-18,2300,Cooks Hill,NSW
9C385E32-ED81-42A9-AC62-40581FE13391,Nash,Bishop,1948-02-02,2341,Werris Creek,NSW
E65D60CB-EB45-42F1-BE0B-C742C23AF29C,Diamond,Olson,1960-03-28,2390,Eulah Creek,NSW
F9285C76-DD5F-4CD5-A7FF-164127EA7BAD,Raymond,Ballard,1996-06-04,2540,Buangla,NSW
1A5B9847-D55C-4617-836C-DBED6DF3B999,Kennedy,Brennan,1988-09-25,2469,Keybarbin,NSW
1A10ADC1-F6F0-45B3-91FD-02783C13CA68,Patrick,Hunt,1963-08-09,4419,Wandoan,QLD
D9B2CB77-A893-4215-B49A-74B10C14CB76,Jake,Whitaker,1997-11-15,2441,Eungai Rail,NSW
578BCEC0-B626-4A49-B77A-1208688546CC,Lilianna,Shaffer,1961-09-05,3531,Boigbeat,VIC
E7A3B5D9-7D76-4782-8139-257D28988D26,Lucy,Bauer,1950-01-09,4560,Towen Mountain,QLD
41F34C73-FFEB-48A3-8C51-3C315D5C3B2F,Erica,Palmer,1977-03-04,4806,Wangaratta,QLD
B3AB6F90-F5CF-4540-934A-80B8AB6066AC,Jeremiah,Wiggins,1967-03-09,4860,Mighell,QLD
1469C8F4-2F8A-40A1-B8A7-2F91104CE633,Ray,Mullen,1998-03-09,7112,Eggs And Bacon Bay,TAS
41BA66D5-5BFF-4447-8BAA-FBCA4A3F7592,Rocco,Maxwell,1956-04-10,4605,Manyung,QLD
DA40E269-BEBD-4761-9B44-C50899375499,Greta,Frye,1971-01-06,3356,Sebastopol,VIC
5A49995B-F9B5-4344-A78C-CECC3B3D15E7,Logan,Reed,1942-06-27,3818,Drouin South,VIC
CBFCDCF9-4E7E-4221-967A-628860195C64,Rayne,Rodgers,1976-04-29,5309,Mindarie,SA
4E16CF5E-DDEF-48EA-8C12-0109D8879E41,Hadassah,Livingston,1975-07-20,5153,Bradbury,SA
D9088854-B700-4A66-A5C8-F52D7E8B5D4A,Moises,Horton,1997-01-03,3294,Moutajup,VIC
D901EB63-40AC-4BBF-9183-735F8C2FDD71,Lawrence,Salazar,1994-01-25,4740,Nindaroo,QLD
7BCECDFE-141B-459D-8E44-287C8D88E7CB,Aubrey,Cummings,1988-06-06,3480,Donald,VIC
78BF7512-6AD8-4C9B-ACD4-D8D39224A1A6,Tristen,Sexton,1957-03-21,6069,Ellenbrook,WA
2634B7FD-A8FF-4960-A401-F30AACCB4F7F,Parker,Carlson,1975-09-28,4754,Mount Martin,QLD
EAF7CA52-7E93-4EFF-BAAD-DD88FB9F7597,Ciara,Higgins,1945-10-24,5275,Taratap,SA
0A09C380-80D3-435B-BF81-CCD0B77DAA79,Alejandro,Andrade,1967-03-22,2756,Colo,NSW
617F081E-EFCF-4D13-93D3-2293A9209E18,Gracie,Knapp,1961-09-01,4702,Central Queensland Mc,QLD
741B6BD2-F9BB-4E76-A830-46E55B2EFF80,Denisse,Barrera,1951-07-30,2429,Yarratt Forest,NSW
E164183C-4DC4-4E93-8EEA-0CDC51750E6E,Halle,Daniel,1983-12-08,3636,Naring,VIC
62234F20-B328-48FE-99A8-DB9BAEB32E27,Aditya,Ewing,1978-07-12,7000,North Hobart,TAS
79BE7C9F-7BF2-4911-A82A-84AD7E40A5B9,Hadley,Barry,1985-08-26,6027,Heathridge,WA
7E5BCC47-F3DB-49E5-8E75-463CE8DE00AD,Eddie,Moyer,1988-12-24,2381,Curlewis,NSW
CDC5A4F8-63A5-4E67-8665-DEBC242AACC1,Angeline,Solomon,2000-08-17,6275,Darradup,WA
142769F8-E531-40E5-B01D-6C82C1C8215B,Cullen,Carson,1966-04-25,4855,Shell Pocket,QLD
A0E9154C-F893-4C95-B8FB-9B35AA51C6A2,Kimberly,Phillips,1969-11-17,6072,Mahogany Creek,WA
C42E2298-66D1-4A95-988F-A2088BDDDE0B,Konnor,Hartman,1982-10-07,3164,Dandenong South,VIC
78343203-F83F-4E1E-99E1-24544E8F2898,Camilla,Delacruz,1956-12-30,2824,Mount Harris,NSW
57493651-ED2E-4A79-AEF3-4B9E5248D299,Ryan,Navarro,1962-06-14,2539,Yatte Yattah,NSW
061233A8-4E94-40F3-B699-C5F197790ACC,Rodney,Caldwell,1989-11-27,3856,Toongabbie,VIC
11ACCDE6-EAA2-437E-BEC2-549F8982CFEB,Giovanny,Alvarez,1953-12-11,5690,Uworra,SA
C819740E-C60B-4808-9C0A-39CBDCDFBF34,Noah,Hobbs,1990-06-06,3620,Wyuna,VIC
BDD9BD9C-9378-411D-A8AC-102DAF45BD67,Chris,Lindsey,1967-04-30,2870,Alectown,NSW
2367DCF9-8B83-4383-9F16-096A3A9B9112,Celia,Tran,1962-02-20,5271,Padthaway,SA
05EE70C8-C3E1-4594-8536-8C4052198D1B,Seth,Pena,1984-10-21,4229,Bond University,QLD
01DF617A-4A9B-4C23-85A6-133841C6369D,Leroy,Melton,1988-05-15,4465,Womalilla,QLD
C7A37BB3-0EFC-4D80-820B-CB7E07C69EC4,Kolton,Singleton,1985-04-14,4350,Newtown,QLD
BE07287F-7E05-4A9E-AC09-94DE38611C27,Janelle,Salazar,1945-07-28,4860,Ngatjan,QLD
BA94A07A-9CE8-45B9-921F-6DC67C011483,Camryn,Coleman,1962-05-16,5460,Pinery,SA
9E0A5D12-C3BE-43E7-9250-DAEB824B2361,Angel,Maldonado,1999-08-02,3444,Baynton East,VIC
96EF40B0-0F24-433D-AF16-23A30FE82E74,Bryce,Powell,1980-08-15,2166,Canley Heights,NSW
27D51DC3-E969-429F-93A0-E7C099CFA1B4,Giancarlo,Matthews,1967-06-08,7215,Bicheno,TAS
1AC85DDE-D25F-4E48-A2E2-D919851C4717,Albert,Prince,1960-08-21,3121,Richmond,VIC
3F68B7A4-4FF1-4F1D-B899-568B8FE58350,Madisyn,Johnston,1951-04-25,1327,Eastern Suburbs Mc,NSW
167B4816-48C0-4E81-964A-F5272A32A1C0,Reuben,Woodward,1965-04-12,7325,Yolla,TAS
F34BD1E1-0B03-48D6-A9B0-F5C29B3DEEAE,Alicia,Merritt,1991-10-12,4798,Mentmore,QLD
0A7A759A-7CFF-4EF2-822E-C5F374F5B973,Anne,Ellis,1982-08-26,3937,Red Hill,VIC
4842D30D-FB79-473F-9F8C-22755FDEEF89,Kasey,French,1970-11-20,2586,Murringo,NSW
B7C9222D-D193-4DE5-92EA-B08DC509477A,Aubrey,Perkins,1993-10-06,2825,Honeybugle,NSW
